Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
175	1	1	17	2	3	1	3	2		2	3	4	1		3	3	2	130	300	4	75	Média	Casado
176	1	1	20	1	4	1	3	1	5	2	3	2	1		1	3	4	300	300	2	150	Baixa	Solteiro
177	1	1	20	1	98	1	3	2		1	6	4	2		1	3	1	240	300	4	75	Baixa	Solteiro
178	1	1	19	1	4	1	1	2		2	3	5	1		1	3	3		465	5	93	Baixa	Casado
179	1	1	21	4	2	1	3	2		2	5	8	2		1	3	3		800	7	114	Baixa	Solteiro
180	1	1	21	2	4	1	3	2		1	3	7	1		1	3	2	210	700	7	100	Média	Solteiro
181	1	1	21	1	4	1	1	1	2	2	4	3	1		1	4	3		600	3	200	Média	Casado
182	1	1	21	1	4	1	2	1	1	1	4	3	1		1	3	2	66	350	3	117	Baixa	Casado
183	1	1	20	2	3	1	1	2		1	4	3	2		3	4	3		2000	3	667	Média	União estável
184	1	3	20	1	1	1	2	2		1	5	7	1		1	3	3		550	7	79	Média	Solteiro
185	1	3	22	1	1	1	1	1	1	2	5	5	1		1	3	3		965	5	193	Média	Casado
186	1	2	18	2	3	1	2	2		2	4	6	1		3	4	3		1	6	0	Baixa	Solteiro
187	1	2	17	1	1	1	1	1	3	1	5	7	1		2	3	2	150	1395	7	199	99	Solteiro
188	1	4	20	1	1	1	1	2		1	3	3	1		2	3	2	190	200	3	67	Média	Solteiro
189	1	4	18	2	3	1	6	2		2	3	4	1		3	3	3		700	4	175	99	Solteiro
190	1	2	19	1	1	1	3	2		2	3	4	1		1	4	3		900	4	225	99	Solteiro
191	1	2	17	1	1	1	3	2		1	3	4	1		1	3	3		92	3	31	99	Solteiro
192	1	3	19	1	3	1	2	1	1	2	5	3	1		1	3	3		320	3	107	Média	Solteiro
193	1	3	17	2	2	1	1	1	1	2	3	7	1		3	4	3			7		99	Solteiro
194	1	3	21	1	1	1	3	1	1	2	3	9	1		1	4	2	90	1	98	0	99	Solteiro
195	1	2	20	1	1	1	3	1	2	1	3	3	1		3	3	2	90	700	3	233	Média	Solteiro
196	1	1	20	1	4	1	2	1	1	2	5	4	1		3	3	1	70	300	6	50	Baixa	Solteiro
197	1	2	22	1	1	2	2	2		2	3	2	1		1	3	3		250	2	125	99	Solteiro
198	1	2	17	1	1	1	3	2		2	3	5	1		1	4	2	500	1500	6	250	Baixa	Solteiro
199	1	2	16	1	1	1	3	2		2	3	6	1		1	4	3		900	6	150	Média	Solteiro
200	1	3	17	1	1	1	3	2		2	3	4	1		1	3	1	100	250	4	63	Baixa	Solteiro
201	1	1	1	1	1	1	3	1	2	2	3	3	1		1	3	3		465	3	155	99	Solteiro
202	1	2	18	1	1	1	3	1	1	1	5	7	1		2	4	3		500	7	71	Baixa	Solteiro
203	1	2	18	1	1	1	3	2		2	3	4	1		3	3	1	160	700	4	175	Baixa	Solteiro
204	1	3	22	1	1	1	2	2		2	6	3	1		1	3	2	22	800	4	200	Baixa	Solteiro
205	1	3	20	4	1	1	3	1	1	1	3	4	1		1	4	2	190	700	4	175	Baixa	Solteiro
206	1	3	21	1	1	1	5	1	1	2	5	3	1		1	3	3		240	3	80	99	Solteiro
207	1	2	20	1	1	1	6	1	1	1	3	5	1		1	3	3		1	5	0	99	99
208	1	2	19	1	1	1	3	2		2	4	3	1		3	3	3		500	3	167	99	Casado
209	1	4	19	1	1	1	3	2		2	3	7	1		1	3	2	90	490	7	70	Média	Solteiro
210	1	3	22	1	1	1	3	1	1	2	6	3	1		3	3	2	300	840	3	280	Baixa	Solteiro
211	1	2	22	1	1	1	3	2		2	6	5	1		1	3	2	90	855	5	171	99	Solteiro
212	3	4	19	2	1	1	1	2		2	6	5	1		2	4	3		1500	5	300	Baixa	Solteiro
213	3	4	18	2	4	1	1	2		1	3	3	1		4	3	3		700	3	233	99	99
214	3	4	19	2	1	1	2	1	4	1	5	3	1		1	3	1	600	1200	3	400	Média	Solteiro
215	3	4	19	2	1	1	3	2		2	3	4	1		4	3	3		800	4	200	Baixa	Solteiro
216	3	4	20	3	4	1	2	2		2	6	3	1		1	3	1	1000	2000	3	667	99	Solteiro
217	3	4	19	1	1	1	2	2		2	4	3	1		1	3	1	450	800	3	267	Baixa	Solteiro
218	3	4	20	1	1	1	6	2		1	7	7	1		1	5	1	750	3000	7	429	Média	Solteiro
219	3	4	18	3	2	1	3	2		2	3	4	1		1	3	3		800	4	200	Média	Casado
220	3	4	21	1	1	1	1	1	1	2	4	6	1		1	4	1	700	1500	6	250	Média	Solteiro
221	3	4	20	3	2	1	1	1	1	2	3	4	1		1	3	1	1200	3200	4	800	Baixa	Casado
222	3	3	15	2	3	1	6	1	2	1	3	5	1		1	3	3		800	5	160	Baixa	Solteiro
223	3	4	15	2	2	1	1	2		2	3	5	1		1	3	3		900	4	225	99	Solteiro
224	3	2	20	3	3	1	3	1	2	2	5	4	1		1	3	2	530	650	3	217	Baixa	Solteiro
225	3	4	16	4	2	1	2	2		2	3	8	1		1	4	1	325	1	8	0	Baixa	Solteiro
226	3	2	19	2	2	1	98	2		2	4	6	1		1	4	1	300	465	6	78	Média	Casado
227	3	3	8	2	1	1	1	1	1	2	3	3	1		1	3	3		450	3	150	Média	Casado
228	3	2	16	3	2	1	1	2		2	4	3	1		3	3	3		600	3	200	Baixa	Solteiro
229	3	4	21	2	3	1	2	1	1	2	3	4	1		2	3	1	350	1100	4	275	Baixa	Solteiro
230	3	3	17	2	1	1	2	1	1	2	5	4	1		3	4	3		1900	4	475	Baixa	Solteiro
231	2	2	16	1	1	1	3	1	2	2	5	6	1		1	4	3		490	6	82	Média	Solteiro
232	2	2	21	1	1	1	2	2		2	6	5	1		1	3	3		1000	5	200	Baixa	Solteiro
233	2	2	18	1	3	1	3	1	6	1	5	3	1		1	3	1	240	700	3	233	Baixa	Solteiro
234	2	2	21	1	1	1	3	2		2	3	3	1		1	3	3		400	3	133	Média	Solteiro
235	2	2	18	1	1	1	2	2		2	3	11	1		3	4	3		700	11	64	Baixa	União estável
236	2	2	17	1	1	1	3	1	1	2	3	3	1		1	3	3		400	3	133	Média	Solteiro
237	2	2	20	1	1	1	5	1	2	2	6	3	1		1	4	1	800	1500	3	500	Baixa	Casado
238	2	1	16	1	1	1	98	1	2	2	3	3	1		3	3	3		400	3	133	Baixa	Solteiro
239	2	2	15	1	1	1	3	2		2	3	5	1		1	3	3		400	5	80	Média	Solteiro
240	2	2	17	1	1	1	1	2		2	5	5	1		1	4	3		800	5	160	Baixa	Solteiro
241	2	2	22	1	1	1	3	1	1	2	5	4	1		1	3	2	65	100	4	25	Média	Solteiro
242	2	4	18	1	4	1	6	2		2	3	7	1		1	3	3		1	99	0	Baixa	Solteiro
243	2	2	19	1	4	1	2	1	1	1	5	3	1		3	3	3		510	3	170	Baixa	Solteiro
244	2	2	20	1	1	1	3	1	2	2	4	6	1		1	4	1	600	1700	6	283	Baixa	Solteiro
245	2	3	18	1	1	1	1	2		1	5	5	1		3	4	3		1500	5	300	alta	Solteiro
246	2	2	21	1	1	2	3	2		2	3	2	1		1	3	1	600	600	2	300	Baixa	Solteiro
247	2	3	22	4	2	1	2	2		2	6	9	1		1	4	3		1	99	0	Baixa	Solteiro
248	2	2	19	3	4	1	2	1	2	2	5	3	1		1	3	3		600	3	200	Média	Solteiro
249	2	2	19	2	4	1	2	1	1	2	5	5	1		3	4	3		510	5	102	99	Solteiro
250	2	4	19	1	1	1	3	1	2	2	5	3	1		3	3	1	575	1200	3	400	Baixa	Solteiro
510	2	4	21	3	2	1	98	2		1	5	3	1		1	3	3		1900	3	633	Média	Casado
511	2	4	21	1	1	1	98	1	2	2	3	11	1		3	3	2	112	262	11	24	Baixa	Solteiro
512	2	4	21	1	1	1	3	2		2	6	3	1		1	3	1	200	1200	3	400	Média	Solteiro
513	2	2	18	1	1	1	3	2		2	3	5	1		3	3	3		550	5	110	Baixa	Solteiro
251	1	3	19	1	1	1	3	1	1	2	3	4	1		3	3	3		200	4	50	Baixa	Solteiro
252	1	3	19	4	4	1	3	2		2	4	3	2		3	4	3		465	3	155	Baixa	Solteiro
253	1	2	22	2	1	1	3	2		1	3	3	1		1	3	2	100	600	2	300	Baixa	Solteiro
254	1	3	21	1	98	1	3	2		2	3	3	1		4	3	3		90	3	30	Média	Solteiro
255	1	3	16	1	1	1	3	2		2	3	8	1		2	3	3		500	3	167	Baixa	Solteiro
256	1	3	19	1	1	1	98	2		2	3	9	1		2	4	2	112	350	9	39	Biaxa	Solteiro
257	1	3	18	1	1	1	3	2		2	3	3	1		1	3	3		250	3	83	Média	Solteiro
258	1	3	17	1	1	1	3	1	1	1	4	5	1		2	4	2	100	500	5	100	Média	Solteiro
259	1	4	20	1	1	1	2	2		2	3	5	1		1	4	3		465	5	93	Média	Solteiro
260	1	2	16	2	1	1	3	2		2	3	6	1		1	4	3		930	6	155	Média	Solteiro
261	1	2	17	1	2	1	2	2		2	3	3	1		1	3	3		400	3	133	Baixa	Solteiro
262	1	4	19	2	1	1	3	2		1	3	3	1		1	4	3		465	3	155	Média	Solteiro
263	1	4	17	2	4	1	1	2		2	4	3	1		3	3	3		200	3	67	Baixa	Solteiro
264	1	4	19	2	4	2	3	1	2	2	5	4	1		1	4	3		405	4	101	Média	Solteiro
265	1	4	19	1	1	2	2	2		2	3	3	1		3	3	3		400	3	133	Baixa	Solteiro
266	1	4	20	1	4	2	3	1	2	2	6	3	1		3	3	1	200	500	3	167	Baixa	Solteiro
267	1	3	22	1	1	1	3	1	2	2	3	5	1		2	3	2	82	250	5	50	Baixa	Solteiro
268	1	4	18	1	1	2	3	2		2	3	7	1		3	4	2	90	900	7	129	Baixa	Solteiro
269	1	2	18	1	1	1	3	2		2	3	2	1		3	3	2	300	300	2	150	Média	Solteiro
270	1	3	15	1	1	1	3	2		1	3	6	1		2	4	3		700	6	117	Média	Solteiro
271	1	4	22	1	1	1	3	1	2	2	3	3	1		4	4	2	112	500	4	125	Média	Solteiro
272	1	2	16	1	1	1	6	2		2	3	3	1		1	4	3		450	3	150	99	Casado
273	1	2	19	2	4	1	3	1	6	2	3	6	1		2	4	1	200	865	6	144	Média	Solteiro
274	1	4	20	1	3	1	3	1	1	2	5	4	1		3	4	2	100	500	4	125	Média	Solteiro
275	1	3	16	1	1	1	3	2		1	3	4	1		1	3	3		450	6	75	99	Solteiro
276	1	2	18	1	1	1	2	1	2	1	5	2	1		1	3	3		600	2	300	Média	Casado
277	1	2	21	1	1	1	2	1	1	2	5	7	1		1	3	2	570	900	7	129	Baixa	Solteiro
278	1	4	19	1	1	1	6	1	2	2	3	3	1		2	3	3		650	3	217	Média	Solteiro
279	1	4	18	1	1	1	2	2		2	5	3	1		1	3	3		450	3	150	Média	Solteiro
280	1	4	17	2	4	1	1	2		2	3	3	1		3	3	3		400	3	133	Média	Casado
281	1	3	22	1	4	1	3	2		2	5	8	1		1	4	2	70	1162	7	166	Baixa	Solteiro
282	1	2	19	1	3	1	1	1	2	2	5	7	1		1	3	2	170	465	0		Baixa	Solteiro
283	1	4	17	1	3	1	3	2		1	4	5	1		1	3	3		130	5	26	Baixa	Solteiro
284	1	3	20	2	1	1	1	2		2	3	5	1		2	3	2	132	590	5	118	Baixa	Solteiro
285	1	3	19	1	1	1	6	1	2	2	4	5	1		2	3	2	90	1000	5	200	Média	Solteiro
286	1	2	20	1	1	1	2	2		2	5	3	1		3	3	1	120	120	3	40	Baixa	Solteiro
287	1	2	18	1	1	1	6	2		2	3	10	1		1	3	3		134	10	13	Baixa	Solteiro
288	1	2	20	2	4	1	3	2		2	3	5	1		1	4	3		1	0		99	Solteiro
289	1	2	18	1	1	1	5	1	1	2	3	8	1		2	3	3		190	8	24	99	Solteiro
290	1	3	20	1	1	1	3	1	2	2	5	3	1		1	4	1	460	800	3	267	Baixa	Casado
291	1	1	17	1	1	1	1	1	3	1	5	7	1		1	3	3		900	7	129	99	Solteiro
292	1	3	22	2	4	1	1	2		2	3	4	1		3	3	3		400	4	100	99	Solteiro
293	1	4	19	1	1	1	1	2		2	3	10	1		1	3	3		300	10	30	99	Solteiro
294	1	2	21	1	1	1	5	1	2	2	5	3	1		3	3	2	90	500	4	125	Baixa	Solteiro
295	1	3	20	1	1	1	2	2		2	3	6	1		1	3	3		800	6	133	99	Solteiro
296	1	3	20	1	1	1	3	2		2	3	3	1		3	3	2	465	465	3	155	Baixa	Solteiro
297	1	3	18	1	1	1	2	2		2	5	3	1		3	3	3		200	3	67	Média	Solteiro
298	1	2	17	1	1	1	1	1	1	2	3	8	1		1	4	3		600	7	86	99	Solteiro
299	1	1	17	1	1	1	1	1	1	2	3	4	1		3	3	3		500	4	125	Média	Solteiro
300	1	2	20	1	1	1	1	1	2	2	3	8	1		1	3	1	150	450	6	75	Baixa	Casado
301	1	3	22	1	1	1	3	2		2	3	8	1		1	4	1	280	800	8	100	Baixa	Solteiro
302	1	3	18	1	1	1	3	2		2	5	6	1		3	3	3		1100	6	183	Baixa	Solteiro
303	1	2	22	1	1	1	1	2		2	3	2	1		3	3	2	112	112	2	56	99	Solteiro
304	1	3	20	1	1	1	6	2		2	3	9	1		1	3	3		900	9	100	99	Solteiro
305	1	4	19	1	1	1	2	1	1	1	5	4	1		1	4	2	250	1200	4	300	99	Solteiro
306	1	2	21	1	1	1	2	1	1	2	6	5	1		1	4	1	465	1000	5	200	Média	Solteiro
307	1	4	22	1	1	1	3	2		1	3	6	1		1	4	2	234	950	6	158	Baixa	Solteiro
308	1	3	18	1	1	1	3	1	1	2	3	3	3		3	3	3			3		Baixa	União estável
309	1	2	19	1	1	1	5	2		2	3	4	1		1	4	1	300	900	5	180	Baixa	Solteiro
310	1	3	22	2	1	1	2	1	1	1	5	4	1		1	4	3		250	4	63	Média	Solteiro
311	2	1	21	1	1	1	1	1	1	2	6	3	1		3	3	1	465	800	3	267	Média	União estável
312	1	3	19	1	1	1	3	1	2	1	3	7	1		1	1	3		830	7	119	Baixa	Solteiro
313	1	3	19	2	2	1	3	2		2	3	3	1		4	3	3		450	3	150	Média	Solteiro
314	1	3	17	1	1	1	5	2		2	5	9	1		1	6	4	123	200	3	67	Baixa	União estável
315	1	3	16	1	1	1	3	2		2	3	4	1		1	3	3		1500	4	375	Baixa	Solteiro
316	1	3	16	2	4	1	3	1	1	1	5	7	1		1	4	3		1000	7	143	99	União estável
317	1	1	19	1	4	1	3	2		2	6	7	1		1	4	1	442	2000	7	286	Baixa	Solteiro
318	1	4	20	1	3	1	2	1	2	2	5	5	1		1	3	2	112	112	5	22	Baixa	Solteiro
319	1	3	19	1	1	1	6	1	2	1	4	4	1		1	4	2	375	2600	7	371	Baixa	Solteiro
320	1	3	21	4	4	1	3	1	1	2	6	3	1		4	3	2	90	800	4	200	Média	Solteiro
321	1	2	21	2	3	1	1	2		2	6	3	1		4	3	2	90	555	3	185	Média	Casado
322	1	3	15	4	4	1	98	2		2	3	8	1		3	4	3			8		99	Solteiro
323	3	4	22	4	2	2	1	2		1	7	3	1		3	4	4	4000	4000	3	1333	Média	Solteiro
324	3	4	21	1	1	1	1	2		2	6	3	1		1	4	1	510	1500	3	500	Média	Solteiro
325	3	4	17	1	1	2	2	2		1	5	3	1		1	3	3		510	3	170	Baixa	Solteiro
326	3	4	21	2	4	1	1	1	2	2	3	2	1		3	3	1	600	600	2	300	Baixa	Solteiro
327	3	4	22	1	1	1	2	1	4	2	3	3	1		1	3	1	586	1100	3	367	Baixa	Solteiro
328	3	4	16	2	2	2	1	2		2	3	5	1		3	4	3			5		Baixa	Solteiro
329	3	1	18	3	2	1	2	1	1	1	3	14	6		4	5	3		400	14	29	Média	Solteiro
330	3	4	19	1	1	1	1	1	1	2	3	4	1		2	3	1	250	1000	4	250	Baixa	Casado
331	3	3	19	3	2	1	1	1	1	2	6	3	1		2	4	1	800	2000	2	1000	Média	Solteiro
332	3	3	18	1	1	1	2	1	1	1	5	6	1		2	4	2	100	1000	6	167	Média	Solteiro
333	3	1	18	3	2	1	98	2		2	4	3	2		3	3	1	500	500	3	167	Baixa	Solteiro
334	3	2	22	1	1	1	2	2		2	5	3	1		2	3	3		400	3	133	Baixa	Solteiro
335	3	4	15	2	2	1	3	2		2	3	2	1		3	3	2	465	465	2	233	Média	Solteiro
336	3	4	19	1	1	1	3	1	2	2	3	4	1		3	4	1	275	600	3	200	Baixa	Solteiro
337	3	1	17	1	1	1	2	2		2	3	3	1		3	3	3			3		Baixa	Casado
338	3	1	16	1	1	1	1	2		2	3	10	1		1	4	3		700	10	70	Baixa	Solteiro
339	3	1	19	1	1	1	2	1	1	2	6	8	1		1	4	3			8		Média	Solteiro
340	3	1	20	1	1	1	3	1	2	2	4	4	1		1	4	3		465	4	116	Média	Solteiro
341	3	1	18	1	1	1	2	2		2	3	7	1		1	3	3					Baixa	Solteiro
342	3	2	22	1	1	1	2	1	1	2	6	5	1		1	4	3		2000	5	400	Média	Solteiro
343	3	1	22	1	1	2	1	2		2	4	3	1		1	3	3		930	4	233	Média	99
344	3	1	20	1	1	1	2	2		1	6	3	1		1	5	3		800	3	267	Baixa	Soleira
345	3	1	22	2	2	1	1	2		2	3	5	1		1	3	3		300	5	60	Baixa	Solteiro
346	3	1	21	1	1	1	2	1	1	2	3	3	1		1	3	3		1200	3	400	Média	Solteiro
347	3	1	20	1	1	1	1	2		2	6	8	1		1	5	3					Média	Solteiro
348	3	1	22	1	1	1	2	1	1	2	5	5	1		1	4	1	465	930	5	186	Média	Solteiro
349	3	1	20	1	1	1	2	1	1	2	6	3	1		1	3	1	800	2000	3	667	Média	Solteiro
350	3	1	16	1	1	1	3	2		2	3	3	1		1	3	3		500	3	167	Média	Solteiro
351	3	1	22	1	1	1	2	2		2	5	4	1		1	3	4	90		4		Média	Solteiro
352	3	4	21	1	1	2	2	2		2	5	7	1		1	3	3		800	7	114	Baixa	Solteiro
353	3	1	16	1	1	2	2	1	2	2	5	3	1		1	3	3		381	3	127	Baixa	Solteiro
354	3	1	18	1	1	2	3	2		2	5	5	1		1	3	3		1400	5	280	Biaxa	Solteiro
355	3	1	22	1	1	2	2	2		2	3	6	1		1	3	4	112	512	6	85	Baixa	Solteiro
356	3	1	15	1	1	1	2	2		2	3	8	1		1	4	2	1000	550	8	69	Média	Solteiro
357	3	1	22	1	1	1	2	1	1	2	5	7	1		1	4	3		1000	7	143	Baixa	Solteiro
358	3	1	17	1	1	2	2	2		2	3	6	1		1	3	4	100	700			Baixa	Solteiro
359	3	1	20	1	1	1	1	1	3	2	4	6	1		1	4	2	100	900	4	225	Média	Solteiro
360	3	1	20	1	1	1	2	1	1	2	5	3	1		1	3	1					Baixa	Solteiro
361	3	1	17	1	1	1	2	1	2	2	3	4	1		1	3	3					Média	Solteiro
362	3	4	17	1	1	1	3	2		2	3	4	1		1	3	3		600	4	150	Baixa	Solteiro
363	3	1	17	1	1	1	2	1	1	2	5	4	1		1	3	2	150	450	4	113	Média	Solteiro
364	3	4	19	1	1	2	2	2		2	4	6	1		1	3	3		700	6	117	Baixa	Solteiro
365	3	1	22	1	1	1	1	2		2	6	4	1		1	3	1	465	1000	4	250	Média	Solteiro
366	3	3	19	2	4	1	1	1	1	1	5	3	1		4	3	1	500	900	3	300	Média	Solteiro
367	3	2	19	2	3	1	1	1	1	2	4	3	1		1	3	1	700	1400	3	467	Baixa	Casado
368	3	4	21	1	1	1	3	1	1	2	6	6	1		1	4	1	650	2045	6	341	Baixa	Solteiro
369	3	2	15	4	3	1	6	2		2	3	4	1		3	3	4		1000	4	250	Baixa	Solteiro
370	3	3	17	3	3	1	1	1	1	2	5	3	1		1	3	3		800	3	267	Baixa	Solteiro
371	3	3	18	3	3	1	1	1	1	2	3	5	1		1	3	4		700	5	140	Baixa	Solteiro
372	3	2	18	3	2	1	1	1	3	1	5	6	1		3	3	1	500	2900	6	483	Média	Solteiro
373	3	2	20	1	1	1	3	1	2	2	3	5	1		2	3	3		450	5	90	Média	Solteiro
374	3	3	21	1	1	1	1	1	1	2	5	3	1		1	3	3					Média	Solteiro
375	3	3	20	1	1	1	2	2		2	3	4	1		1	3	1	465	465	3	155	Baixa	Solteiro
376	3	2	19	1	1	1	2	2		2	3	2	1		1	3	3					Baixa	Solteiro
377	3	4	17	1	1	1	1	2		2	3	2	1		1	4	3		8000	3	2667	Alta	Solteiro
378	3	3	17	3	2	1	1	1	2	2	3	3	1		1	3	3		700	3	233	Baixa	Solteiro
379	3	4	16	1	1	1	1	2		1	5	7	1		1	4	3					Média	Solteiro
380	3	3	18	1	1	1	1	2		2	3	3	1		1	3	3					Média	Solteiro
381	3	1	16	2	2	1	1	2		2	3	5	1		4	3	3		1570	5	314	Média	Solteiro
382	3	2	17	1	1	1	1	2		2	3	3	1		1	3	3		1000	3	333	Média	Solteiro
383	3	1	17	3	3	1	1	2		2	3	3	1		3	4	3		2500	3	833	Média	Solteiro
384	3	3	18	2	3	1	1	2		2	3	4	3		3	3	1	476	1043	4	261	Baixa	Solteiro
385	3	3	16	1	3	1	3	1	2	2	6	3	1		4	3	3		700	3	233	Média	Solteiro
386	3	3	22	2	4	1	3	2		2	4	3	1		1	3	1	500	1500	3	500	Média	Casado
387	3	3	17	3	2	1	1	2		2	3	4	1		4	3	1	490	1120	5	224	Baixa	Solteiro
388	3	2	19	3	4	1	1	1	2	2	3	7	1		1	3	3		2060	7	294	Média	Casado
389	3	2	18	2	2	1	3	2		2	5	5	1		3	3	3		1000	5	200	Baixa	Solteiro
390	3	2	20	3	3	1	3	2		2	5	6	1		1	5	3		600	4	150	Média	Casado
391	3	2	17	1	1	1	1	2		2	3	3	1		3	3	3		500	3	167	Baixa	União estável
392	3	4	19	1	1	1	1	1	1	2	4	3	1		1		1	530	1600	2	800	Média	Solteiro
393	3	3	18	2	3	1	3	1	1	2	5	6	1		3	4	2	480	1800			Baixa	Solteiro
394	3	1	17	2	2	2	6	2		2	3	6	1		3	3	3		900	6	150	Baixa	Solteiro
395	3	2	18	1	1	1	3	2		2	5	6	1		1	4	3		900			Baixa	Solteiro
396	3	3	19	1	1	1	1	1	1	2	6	6	2		6	4	1	500	2000	6	333	Média	Solteiro
397	3	2	18	1	1	1	1	1	1	2	6	3	1		3	3	2	60	760	3	253	Baixa	Solteiro
398	3	2	18	1	1	1	1	1	2	2	5	3	2		1	3	3		1200	3	400	Média	Casado
399	3	3	19	4	3	1	1	1	1	2	5	7	1		1	3	1	700	1700	7	243	Baixa	Solteiro
400	3	1	17	2	1	1	3	2		2	3	5	1		2	3	3		500	5	100	Baixa	União estável
401	3	3	20	4	2	1	3	1	2	2	4	4	1		3	3	3		1200	4	300	Média	Solteiro
402	3	4	16	1	1	1	3	2		2	3	3	1		2	3	3		700	3	233	Baixa	Solteiro
403	3	2	18	1	1	1	1	2		2	4	7	1		3	3	3		2450	7	350	Média	Solteiro
404	2	3	18	1	1	1	3	2		1	5	4	1		1	3	1	200	900	4	225	Baixa	Solteiro
405	2	1	22	1	4	1	3	1	2	1	5	4	1		1	3	3		1200	4	300	Baixa	Casado
406	2	4	20	1	4	2	2	2		2	6	3	3		4	3	3		5000	3	1667	Baixa	Solteiro
407	2	3	16	1	1	1	3	2		2	3	5	1		3	4	3		860	5	172	Baixa	Casado
408	2	2	21	1	1	1	3	1	2	2	6	3	1		1	3	3		1000	3	333	Baixa	Casado
409	2	2	16	1	1	1	3	1	1	1	5	3	1		3	3	2	22	600	3	200	Baixa	Casado
410	2	2	19	1	1	1	3	1	1	2	4	3	1		3	3	2	510	8000	3	2667	Média	Casado
411	2	3	19	1	2	1	3	2		2	5	4	1		1	3	3		1000	4	250	Baixa	Casado
412	2	3	17	1	1	1	6	2		2	4	3	1		3	3	3		500	3	167	99	Solteiro
413	2	4	16	1	2	1	3	2		2	3	5	1		3	3	2	100	800	5	160	Média	Divorciado
414	2	2	19	1	1	1	98	1	2	2	3	8	1		1	3	3		1500	8	188	Baixa	Solteiro
415	2	4	21	1	2	1	3	1	1	2	3	5	1		1	3	3		500	5	100	Média	Solteiro
416	2	4	20	1	1	1	3	2		2	3	8	1		1	4	1	515	2500			Média	Solteiro
417	2	2	20	1	1	1	98	2		2	5	3	3		4	3	3		420	3	140	Média	Solteiro
418	2	4	19	1	1	1	3	1	1	2	5	3	1		1	3	1	480	960	3	320	Média	Solteiro
419	2	1	19	1	1	1	3	2		1	5	4	1		1	4	3		3000	5	600	Média	Solteiro
420	2	2	19	3	1	1	2	1	1	2	6	8	1		1	4	3		2300			Média	Solteiro
421	2	2	20	1	1	1	5	2		1	5	6	1		1	3	3		600	6	100	Baixa	Solteiro
422	2	3	20	1	1	1	2	2		2	6	8	1		1	3	1	100	2040	8	255	Média	União estável
423	2	3	21	4	4	1	1	1	2	2	5	5	1		3	3	1	510	1020	5	204	Baixa	Solteiro
424	2	2	21	1	1	1	3	2		1	5	4	1		1	3	1	200	665	4	166	Baixa	Solteiro
425	2	4	22	3	4	1	3	1	2	2	6	2	1		3	3	1	500	700	2	350	Média	Casado
426	2	4	18	1	1	1	3	2		2	5	4	1		1	3	3		800	4	200	Baixa	Solteiro
427	2	2	18	1	1	1	3	1	1	1	7	4	1		1	3	3		800	3	267	Baixa	Solteiro
428	2	3	17	1	1	1	3	2		1	5	5	1		1	3	2	150	600	5	120	Média	Solteiro
429	2	4	17	1	1	1	3	2		1	5	8	1		1	5	2	113	243	8	30	Baixa	Solteiro
430	2	4	19	1	4	1	3	2		2	6	3	1		1	3	3		800	3	267	Média	Solteiro
431	2	3	21	1	1	1	3	1	1	2	5	3	1		4	3	3		800	3	267	Média	Casado
432	2	3	22	2	4	1	3	2		2	6	4	1		1	3	1	150	1500	4	375	Média	Solteiro
433	2	2	15	1	1	1	2	2		1	4	12	1		1	3	3		1100	12	92	Baixa	Solteiro
434	2	3	16	1	1	1	3	1	6	2	3	3	1		1	3	3		270	3	90	Baixa	Solteiro
435	2	3	17	1	1	1	98	2		1	4	7	1		1	3	3		900			Média	Solteiro
436	2	1	19	2	2	1	3	2		2	5	3	1		3	3	3		510	3	170	Baixa	Solteiro
437	2	1	21	1	1	1	3	2		2	4	3	1		1	3	3					Média	Solteiro
438	2	1	19	4	4	1	1	1	2	2	5	4	1		3	3	3		1200	4	300	Baixa	Solteiro
439	2	3	17	1	1	1	3	1	1	1	3	4	1		1	4	3		800	4	200	Baixa	Divorciado
