Número	NCidade	Local	Idade	Cidade	Tempo	Bairro	Cor	Religião	Religião_qual	Estudando	Estudo	Casa	Qualeotipodehabitacao	Habit_outro	Habit_alug	Comodos	Trabalho	Recursos	Renda_familiar	Renda_div_pessoa	Renda_da_familia	Classe	Civil
502	2	2	17	1	1	1	6	1	2	1	5	6	1		1	3	3		760	6	127	Média	Casado
503	2	4	18	1	1	1	2	2		2	6	3	2		3	3	1	600	2500	4	625	Média	Solteiro
504	2	2	18	4	2	1	3	1	2	2	4	3	1		1	3	3		500	3	167	Média	Solteiro
505	2	2	20	3	4	1	3	1	1	2	5	5	1		1	4	3		845	5	169	Baixa	Solteiro
506	2	2	16	1	1	1	3	2		2	5	3	1		1	3	1	150	150	3	50	Baixa	Solteiro
507	2	2	18	1	1	1	5	2		2	5	6	1		1	4	3		700	6	117	Média	Solteiro
508	2	2	19	1	1	1	3	2		2	6	7	1		1	4	1	700	1500	7	214	Média	Solteiro
509	2	2	19	1	1	1	1	1	2	2	5	3	1		1	3	3		450	3	150	Média	Solteiro
514	2	4	16	1	1	1	3	2		2	5	3	1		1	4	3		510	3	170	Baixa	Casado
515	2	4	19	1	1	1	2	1	1	2	5	4	1		3	3	3		500	4	125	Média	Solteiro
516	2	3	17	1	1	1	2	2		2	3	3	1		3	3	3		510	3	170	Média	Solteiro
517	2	3	18	1	1	1	3	2		1	5	5	1		1	4	3		510	5	102	Média	Solteiro
518	2	3	16	1	1	1	3	2		2	5	3	1		4	3	3		700	3	233	Média	Solteiro
519	2	4	22	1	1	1	2	2		2	6	6	1		1	3	3		800	6	133	Baixa	Solteiro
520	2	4	17	2	1	1	2	2		1	5	7	1		3	3	1	420	1350	7	193	Baixa	Solteiro
521	2	3	17	2	3	1	2	2		2	3	7	1		1	4	3		500	7	71	Média	Solteiro
522	2	3	19	1	1	1	3	2		2	3	4	1		1	3	3		500	4	125	Média	Solteiro
523	2	2	18	1	1	1	2	2		1	5	6	1		1	3	3		1000	6	167	Baixa	Solteiro
524	2	4	19	1	1	1	1	2		2	3	3	1		4	3	3		500	3	167	Média	Solteiro
525	2	4	20	1	1	1	2	1	2	2	5	7	1		1	3	2	112	500	7	71	Média	Solteiro
526	2	4	20	1	2	1	98	1	2	2	5	3	1		3	3	3		400	3	133	Baixa	Solteiro
527	2	2	16	1	1	1	3	2		2	3	6	1		3	3	3		890	6	148	Média	Solteiro
528	2	4	18	2	4	1	3	2		1	5	7	1		1	3	4	70	2800	7	400	Média	Solteiro
529	2	4	22	1	1	1	3	1	1	1	5	3	1		1	3	3		648	3	216	Média	Solteiro
530	2	3	20	1	1	1	3	1	1	2	5	7	1		1	3	3		3500	7	500	Média	Casado
531	2	4	19	1	1	1	2	1	1	2	3	3	1		3	3	1	1300	2700	3	900	99	Solteiro
532	2	3	22	1	1	1	1	2		2	5	4	1		1	3	2	112	2000	4	500	Baixa	Solteiro
533	2	4	19	1	1	1	3	1	2	1	3	3	1		1	3	2	100	900	3	300	Média	Casado
